0,3,6
0,4,6
0,5,8
0,6,9
0,7,13
0,8,18
0,9,21
0,10,22
0,11,18
0,12,15
0,13,13
0,14,14
0,15,13
0,16,16
0,17,20
0,18,21
0,19,18
0,20,16
0,21,22
0,22,27
0,23,27
0,24,21
0,25,15
0,26,12
0,36,14
0,37,15
0,38,15
0,39,15
0,44,15
0,45,17
0,46,16
0,47,16
0,48,15
0,49,17
0,50,17
0,51,19
0,52,20
0,53,19
0,54,16
0,56,17
0,57,19
0,58,21
0,59,21
0,60,24
1,5,6
1,6,6
1,7,8
1,8,13
1,9,18
1,10,22
1,11,20
1,12,18
1,13,16
1,14,17
1,15,15
1,16,16
1,17,16
1,18,16
1,19,15
1,20,16
1,21,17
1,22,23
1,23,22
1,24,23
1,25,16
1,26,14
1,37,14
1,38,15
1,39,15
1,44,16
1,45,17
1,46,17
1,47,17
1,48,16
1,49,18
1,50,18
1,51,19
1,52,19
1,53,18
1,54,17
1,56,17
1,57,19
1,58,20
1,59,20
1,60,21
2,5,6
2,6,6
2,7,8
2,8,10
2,9,13
2,10,16
2,11,18
2,12,19
2,13,16
2,14,16
2,15,13
2,16,15
2,17,12
2,18,11
2,19,13
2,20,16
2,21,19
2,22,21
2,23,19
2,24,22
2,25,17
2,26,17
2,38,15
2,39,15
2,40,15
2,45,18
2,46,18
2,47,18
2,48,18
2,49,21
2,50,21
2,51,19
2,52,17
2,53,16
2,54,15
2,56,16
2,57,19
2,58,21
2,59,22
2,60,23
3,7,6
3,8,8
3,9,11
3,10,12
3,11,15
3,12,16
3,13,19
3,14,20
3,15,17
3,16,13
3,17,11
3,18,14
3,19,21
3,20,23
3,21,23
3,22,20
3,23,17
3,24,19
3,25,16
3,26,18
3,27,13
3,28,13
3,38,15
3,39,15
3,40,15
3,41,15
3,42,16
3,43,17
3,44,17
3,45,19
3,46,19
3,47,19
3,48,19
3,49,22
3,50,21
3,51,18
3,52,17
3,53,17
3,54,16
3,56,15
3,57,17
3,58,18
3,59,21
3,60,24
4,7,6
4,8,7
4,9,10
4,10,10
4,11,13
4,12,14
4,13,17
4,14,21
4,15,21
4,16,20
4,17,18
4,18,19
4,19,23
4,20,22
4,21,21
4,22,18
4,23,15
4,24,16
4,25,15
4,26,17
4,27,13
4,28,13
4,38,15
4,39,15
4,40,15
4,41,17
4,42,19
4,43,19
4,44,17
4,45,19
4,46,19
4,47,19
4,48,20
4,49,23
4,50,22
4,51,18
4,52,17
4,53,17
4,54,17
4,55,15
4,56,17
4,57,18
4,58,18
4,59,20
4,60,24
5,9,7
5,10,8
5,11,10
5,12,12
5,13,15
5,14,20
5,15,20
5,16,21
5,17,20
5,18,22
5,19,20
5,20,18
5,21,16
5,22,14
5,23,14
5,24,16
5,25,16
5,26,16
5,27,13
5,28,14
5,29,13
5,30,13
5,40,15
5,41,18
5,42,20
5,43,18
5,44,16
5,45,16
5,46,18
5,47,21
5,48,21
5,49,24
5,50,19
5,51,20
5,52,18
5,53,18
5,54,17
5,55,17
5,56,19
5,57,18
5,58,17
5,59,18
5,60,23
6,11,6
6,12,8
6,13,9
6,14,14
6,15,15
6,16,18
6,17,20
6,18,19
6,19,15
6,20,11
6,22,12
6,23,16
6,24,18
6,25,16
6,26,13
6,28,13
6,29,13
6,30,13
6,40,15
6,41,18
6,42,18
6,43,17
6,44,15
6,46,16
6,47,20
6,48,21
6,49,23
6,50,19
6,51,21
6,52,18
6,53,20
6,54,18
6,55,19
6,56,19
6,57,20
6,58,20
6,59,20
6,60,20
7,12,6
7,13,7
7,14,9
7,15,10
7,16,11
7,17,14
7,18,15
7,19,15
7,20,14
7,21,13
7,22,14
7,23,17
7,24,18
7,25,15
7,26,12
7,28,12
7,29,12
7,30,13
7,40,14
7,41,15
7,42,16
7,43,15
7,44,15
7,46,17
7,47,22
7,48,22
7,49,22
7,50,19
7,51,21
7,52,20
7,53,20
7,54,21
7,55,19
7,56,20
7,57,21
7,58,22
7,59,22
7,60,20
8,13,7
8,14,8
8,15,10
8,16,10
8,17,13
8,18,15
8,19,19
8,20,22
8,21,20
8,22,18
8,23,15
8,24,14
8,25,12
8,42,15
8,43,15
8,44,15
8,46,17
8,47,22
8,48,24
8,49,21
8,50,18
8,51,18
8,52,19
8,53,21
8,54,22
8,55,21
8,56,21
8,57,22
8,58,25
8,59,23
8,60,21
9,15,8
9,16,10
9,17,11
9,18,12
9,19,17
9,20,21
9,21,21
9,22,19
9,23,15
9,24,14
9,31,13
9,32,13
9,33,13
9,43,15
9,44,15
9,45,16
9,46,17
9,47,22
9,48,23
9,49,21
9,50,18
9,51,18
9,52,20
9,53,20
9,54,22
9,55,22
9,56,24
9,57,23
9,58,24
9,59,22
9,60,23
10,16,9
10,17,10
10,18,12
10,19,15
10,20,18
10,21,18
10,22,18
10,23,16
10,24,17
10,25,14
10,26,12
10,31,13
10,32,13
10,33,13
10,43,15
10,44,16
10,45,17
10,46,18
10,47,24
10,48,25
10,49,23
10,50,18
10,51,19
10,52,20
10,53,23
10,54,22
10,55,21
10,56,21
10,57,21
10,58,23
10,59,20
10,60,23
11,21,11
11,22,14
11,23,17
11,24,18
11,25,16
11,26,17
11,27,16
11,28,15
11,29,12
11,31,12
11,32,12
11,33,13
11,43,15
11,44,16
11,45,17
11,46,18
11,47,19
11,48,18
11,49,20
11,50,18
11,51,20
11,52,20
11,53,21
11,54,23
11,55,23
11,56,26
11,57,24
11,58,23
11,59,20
11,60,23
12,22,11
12,23,14
12,24,16
12,25,16
12,26,17
12,27,18
12,28,18
12,29,17
12,30,16
12,31,17
12,32,17
12,33,15
12,34,14
12,44,14
12,45,16
12,46,17
12,47,18
12,48,19
12,49,21
12,50,20
12,51,20
12,52,20
12,53,21
12,54,24
12,55,26
12,56,30
12,57,25
12,58,22
12,59,19
12,60,21
13,24,12
13,25,13
13,26,16
13,27,18
13,28,18
13,29,17
13,30,16
13,31,17
13,32,18
13,33,17
13,34,16
13,35,17
13,36,17
13,37,19
13,38,18
13,39,19
13,40,17
13,41,18
13,42,16
13,43,15
13,45,15
13,46,16
13,47,16
13,48,17
13,49,19
13,50,20
13,51,20
13,52,19
13,53,20
13,54,25
13,55,31
13,56,35
13,57,29
13,58,24
13,59,22
13,60,24
14,27,13
14,28,14
14,29,16
14,30,16
14,31,17
14,32,18
14,33,17
14,34,16
14,35,16
14,36,17
14,37,19
14,38,18
14,39,19
14,40,17
14,41,18
14,42,18
14,43,18
14,44,18
14,45,18
14,46,19
14,47,19
14,48,20
14,49,20
14,50,21
14,51,21
14,52,22
14,53,22
14,54,24
14,55,29
14,56,30
14,57,31
14,58,26
14,59,27
14,60,24
15,32,12
15,33,13
15,34,14
15,35,16
15,36,16
15,37,18
15,38,17
15,39,18
15,40,16
15,41,17
15,42,17
15,43,18
15,44,18
15,45,16
15,46,17
15,47,18
15,48,20
15,49,20
15,50,23
15,51,22
15,52,23
15,53,22
15,54,22
15,55,24
15,56,24
15,57,28
15,58,27
15,59,28
15,60,24
16,42,14
16,43,15
16,44,17
16,45,16
16,46,16
16,47,17
16,48,20
16,49,20
16,50,22
16,51,20
16,52,21
16,53,19
16,54,20
16,55,21
16,56,21
16,57,26
16,58,25
16,59,25
16,60,20
17,40,13
17,41,13
17,42,13
17,48,16
17,49,16
17,50,19
17,51,16
17,52,17
17,53,16
17,54,18
17,55,19
17,56,19
17,57,19
17,58,18
17,59,18
17,60,19
18,40,13
18,41,13
18,42,13
18,48,14
18,49,15
18,50,15
18,51,15
18,52,16
18,53,16
18,54,18
18,55,18
18,56,19
18,57,18
18,58,17
18,60,17
19,40,13
19,41,13
19,42,13
19,51,15
19,52,15
19,53,18
19,54,17
19,55,17
19,56,17
19,57,18
19,58,18
19,59,17
19,60,18
20,51,15
20,52,16
20,53,18
20,54,17
20,55,17
20,56,18
20,57,17
20,58,18
20,59,17
20,60,17
21,43,13
21,44,13
21,45,13
21,51,16
21,52,16
21,53,18
21,54,17
21,55,18
21,56,18
21,57,17
21,58,18
21,59,18
21,60,18
22,43,13
22,44,13
22,45,13
22,51,16
22,52,16
22,53,17
23,43,13
23,44,13
23,45,13
23,46,13
23,47,15
23,48,15
23,51,16
23,52,16
23,53,18
24,46,14
24,47,15
24,48,15
25,46,14
25,47,16
25,48,16
25,49,16
25,50,16
25,51,16
25,52,17
26,47,15
26,48,15
26,49,16
26,50,16
26,51,17
26,52,17
27,47,15
27,48,16
27,49,16
27,50,16
27,51,18
27,52,19
27,53,21
27,54,22
27,55,22
27,56,22
27,57,20
27,58,19
28,49,16
28,50,18
28,51,21
28,52,25
28,53,29
28,54,27
28,55,25
28,56,21
28,57,21
28,58,20
28,59,19
29,49,18
